"COMPbase","2013-03-25232841","pauligiraldo"
"5-Deoxy-5-aminoshikimic acid","cpd:C12121",""
"Luteoliflavan","cpd:C12122",""
"7,4'-Dihydroxyflavone","cpd:C12123","ko00941;ko00943"
"Apiforol","cpd:C12124","ko00941"
"Isoformononetin; 4'-Hydroxy-7-methoxyisoflavone","cpd:C12125","ko00943;map01061"
"Dihydroceramide; N-Acylsphinganine","cpd:C12126","ko00600;ko01100"
"(+)-Gallocatechin; Gallocatechol","cpd:C12127","ko00941;ko01110"
"(-)-Epiafzelechin; epi-Afzelechin","cpd:C12128","ko00941;ko01110"
"Anemone purple anthocyanin 1","cpd:C12129",""
"Anemone blue anthocyanin 1","cpd:C12130",""
"Anemone blue anthocyanin 2","cpd:C12131",""
"Anemone blue anthocyanin 3","cpd:C12132",""
"Anemone blue anthocyanin 4","cpd:C12133",""
"2'-Hydroxygenistein; 2',4',5,7-Tetrahydroxyisoflavone","cpd:C12134","ko00943"
"2'-Hydroxybiochanin A; Dehydroferreirin","cpd:C12135","ko00943"
"(-)-Epigallocatechin; Epigallocatechol","cpd:C12136","ko00941;ko01110"
"Pelargonidin 3-O-glucoside; Pelargonidin 3-glucoside; Pelargonidin 3-O-beta-D-glucoside","cpd:C12137","ko00942;ko01100;ko01110"
"Delphinidin 3-O-glucoside; Mirtillin; Delphinidin 3-glucoside; Delphinidin 3-O-beta-D-glucoside","cpd:C12138","ko00942"
"Petunidin 3-O-glucoside; Petunidin 3-glucoside","cpd:C12139","ko00942"
"Malvidin 3-O-glucoside; Enin; Malvidin-3-glucoside","cpd:C12140","ko00942"
"Peonidin 3-O-glucoside; Peonidin-3-glucoside","cpd:C12141","ko00942"
"Vetispiradiene; (-)-Vetispiradiene; (-)-Premnaspirodiene","cpd:C12142","ko00909;map01062;ko01110"
"2-Aminoacridone; AMAC","cpd:C12143",""
"Phytosphingosine; 4-D-Hydroxysphinganine","cpd:C12144","ko00600;ko01100"
"Phytoceramide; Ceramide II; N-Acyl-4-hydroxysphinganine","cpd:C12145","ko00600;ko01100"
"C26-CoA","cpd:C12146",""
"L-Threonine O-3-phosphate; L-Threonine phosphate; O-Phospho-L-threonine","cpd:C12147","ko00860"
"Stigmatellin A; Stigmatellin","cpd:C12148","ko01052"
"Stigmatellin X","cpd:C12149",""
"Stigmatellin Y","cpd:C12150",""
"Mycolactone","cpd:C12151","ko01052"
"Niddamycin","cpd:C12152","ko01052"
"Epothilone A","cpd:C12153","ko01052"
"Epothilone B; Patupilone","cpd:C12154",""
"Nystatin A1","cpd:C12155","ko01052"
"Nystatin A3","cpd:C12156",""
"Myxalamid S","cpd:C12157","ko01052"
"Myxalamid A","cpd:C12158",""
"Myxalamid B","cpd:C12159",""
"Myxalamid C","cpd:C12160",""
"Myxalamid D","cpd:C12161",""
"Crinine","cpd:C12162","ko00950;map01063;ko01110"
"Powelline; 1,2-Didehydro-7-methoxycrinan-3arpha-ol","cpd:C12163",""
"Hamayne; Bulbispermine","cpd:C12164",""
"3-O-Acetylhamayne","cpd:C12165",""
"1-O-Acetyllycorine","cpd:C12166",""
"Cherylline","cpd:C12167",""
"Crinamidine","cpd:C12168",""
"1-Epideacetylbowdensine","cpd:C12169",""
"Zephyranthine","cpd:C12170",""
"1,2-O-Diacetylzephyranthine","cpd:C12171",""
"11alpha-Hydroxygalanthamine","cpd:C12172",""
"Norgalanthamine; N-Demethylgalanthamine","cpd:C12173","ko00950;map01063;ko01110"
"Haemanthidine; Hemanthidine","cpd:C12174",""
"Proansamycin X","cpd:C12176","ko01051;ko01110"
"Proansamitocin","cpd:C12177","ko01051;ko01110"
"3-Epimacronine","cpd:C12178",""
"Tazettine","cpd:C12179",""
"(-)-8-Demethylmaritidine; Normaritidine","cpd:C12180",""
"Ismine","cpd:C12181",""
"Trisphaeridine; Trispheridine","cpd:C12182",""
"Obliquine","cpd:C12183",""
"Narcissidine","cpd:C12184",""
"Nangustine","cpd:C12185",""
"Pancracine","cpd:C12186",""
"Pseudolycorine; 3,12-Didehydro-9-methoxygalanthan-1alpha,2beta,10-triol","cpd:C12187",""
"Vasconine","cpd:C12188",""
"Ungeremine","cpd:C12189",""
"9-O-Demethylhomolycorine","cpd:C12190",""
"ent-6beta-Hydroxybuphanisine","cpd:C12191",""
"ent-6alpha-Hydroxybuphanisine","cpd:C12192",""
"Vittatine; (3beta,5alpha,13beta,19alpha)-1,2-Didehydro-crinan-3-ol","cpd:C12193",""
"11-Hydroxyvittatine","cpd:C12194",""
"Zephyramine","cpd:C12195",""
"Bocconarborine A; (+/-)-Bocconarborine A","cpd:C12196",""
"(+/-)-Bocconarborine B","cpd:C12197",""
"6-(2-Hydroxyethyl)-5,6-dihydrosanguinarine","cpd:C12198",""
"3-Methoxy-8,9-methylenedioxy-3,4-dihydrophenanthridine; 3-Methoxy-3,4-dihydro-[1,3]-dioxolo-[4,5-j]-phenanthridine","cpd:C12199",""
"(+/-)-6-Acetonyldihydrochelerythrine; 6-Acetonyl-5,6-dihydrochelerythrine","cpd:C12200",""
"(+/-)-6-Acetonyldihydrosanguinarine; 6-Acetonyl-5,6-dihydrosanguinarine; (+/-)-8-Acetonyldihydrosanguinarine","cpd:C12201",""
"Platenolide A; Platenolide I","cpd:C12202",""
"5-Hydroxyferuloyl-CoA","cpd:C12203","ko00940;map01061;ko01100;ko01110"
"5-Hydroxyconiferaldehyde","cpd:C12204","ko00940;map01061;ko01100;ko01110"
"5-Hydroxyconiferyl alcohol","cpd:C12205","ko00940;ko01110"
"Caffeyl alcohol","cpd:C12206","ko00940;ko01110"
"p-Coumaroyl quinic acid; trans-5-O-(4-Coumaroyl)-D-quinate","cpd:C12208","ko00940;ko00941;ko00945;ko01110"
"UDP-3-ketoglucose; UDP-3-keto-D-glucose","cpd:C12210","ko01051;ko01110"
"UDP-kanosamine; UDP-D-kanosamine","cpd:C12211","ko01051;ko01110"
"Kanosamine; D-Kanosamine","cpd:C12212","ko01051;ko01110"
"Kanosamine 6-phosphate; D-Kanosamine 6-phosphate","cpd:C12213","ko01051;ko01110"
"Aminofructose 6-phosphate; Amino-D-fructose 6-phosphate","cpd:C12214","ko01051;ko01110"
"Iminoerythrose 4-phosphate; Imino-D-erythrose 4-phosphate","cpd:C12215","ko01051;ko01110"
"Mycobactin S","cpd:C12216","ko01053;ko01110"
"Fe(CN)3; Ferric cyanide; Iron cyanide (Fe(CN)3)","cpd:C12217",""
"Fe(CN)2; Iron cyanide (Fe(CN)2)","cpd:C12218",""
"Corynebactin; Bacillibactin","cpd:C12219","ko01053;ko01110"
"Myxochelin A","cpd:C12220","ko01053"
"Myxochelin B","cpd:C12221","ko01053"
"Hydroxysanguinarine","cpd:C12222",""
"N-Methyl-2,3,7,8-tetramethoxy-5,6-dihydrobenzophenathridine-6-ethanoic acid","cpd:C12223",""
"N-Methyl-2,3,7,8-tetramethoxybenzophenanthridine-6(5H)-one","cpd:C12224",""
"6-Oxochelerythrine; Oxychelerythrine; 1,2-Dimethoxy-12-methyl-(1,3)benzodioxolo(5,6-c)phenanthridin-13(12H)-one","cpd:C12225",""
"Norchelerythrine; 1,2-Dimethoxy-(1,3)benzodioxolo(5,6-c)phenanthridine","cpd:C12226",""
"Chelerythrine","cpd:C12227",""
"Sanguilutine","cpd:C12228",""
"Chelilutine","cpd:C12229",""
"Sanguirubine","cpd:C12230",""
"Anhalamine; N-Demethylanhalidine","cpd:C12231","map01063"
"Sanguinine","cpd:C12232",""
"Lycoramine; 1,2-Dihydrogalanthamine","cpd:C12233",""
"Epinorlycoramine","cpd:C12234",""
"Assoanine","cpd:C12235",""
"Oxoassoanine; Dihydropratosine","cpd:C12236",""
"2-O-Acetylpseudolycorine","cpd:C12237",""
"Papyramine","cpd:C12238",""
"9-O-Demethyl-2alpha-hydroxyhomolycorine","cpd:C12239",""
"Dubiusine","cpd:C12240",""
"O-Methyllycorenine","cpd:C12241",""
"Chelidonine","cpd:C12242",""
"(+/-)-gamma-Lycorane","cpd:C12243",""
"3-Buten-1-amine","cpd:C12244",""
"Methyl5-(but-3-en-1-yl)amino-1,3,4-oxadiazole-2-carboxylate","cpd:C12245",""
"Protorifamycin I","cpd:C12246","ko01051"
"Rifamycin W","cpd:C12247","ko01051;ko01110"
"5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate","cpd:C12248","ko00230;ko01100;ko01120"
"Kaempferol 3-O-glucoside; Kaempferol 3-O-beta-D-glucoside; Astragalin","cpd:C12249","ko00944;ko01110"
"Anhydrolycorinone","cpd:C12250",""
"2-Iodo-6-methoxyphenol","cpd:C12251",""
"2-Bromo-5-hydroxy-N-[2-(4-hydroxyphenyl)ethyl]-4-methoxy-N-methylbenzamide","cpd:C12252",""
"Norsanguinine","cpd:C12253",""
"(+)-Plicamine","cpd:C12254",""
"7-Deoxypancratistatin","cpd:C12255",""
"(+)-2,7-Dideoxypancratistatin","cpd:C12256",""
"Homochelidonine; (+/-)-Homochelidonine","cpd:C12257",""
"Arnottin II","cpd:C12258",""
"(+)-Sceletium A4","cpd:C12259",""
"(-)-Tortuosamine; Tortuosamine","cpd:C12260",""
"2,3,4-Trioxycyclopentanone","cpd:C12261",""
"4,4-Disubstituted cyclohexenone","cpd:C12262",""
"1,2-Dimethoxy-4-[2-(2-propenyloxy)ethenyl]-benzene","cpd:C12263",""
"6-(2-Methoxyvinyl)benzo[1,3]dioxole-5-carboxylic acid","cpd:C12264",""
"Lichenysin D","cpd:C12265","ko01054"
"Iturin A","cpd:C12266","ko01054"
"Bacillomycin D","cpd:C12267","ko01054"
"Syringomycin","cpd:C12268","ko01054"
"N-Methyl-D-aspartic acid; N-Methyl-D-aspartate; NMDA","cpd:C12269",""
"N-Acetyl-aspartyl-glutamate; NAAG; Isospaglumic acid","cpd:C12270","ko04080"
"Arachidonoyl dopamine","cpd:C12271","ko04080"
"N-Oleoyl dopamine","cpd:C12272","ko04080"
"Calcium pantothenate","cpd:C12276",""
"Calcium hydroxide","cpd:C12277",""
"Copper gluconate","cpd:C12278",""
"Methyl acetyl ricinoleate","cpd:C12280",""
"Polyvinyl acetate","cpd:C12282",""
"Saccharin","cpd:C12283",""
"Saccharin sodium anhydrous","cpd:C12284","ko04742;ko04973"
"Sucralose","cpd:C12285","ko04973"
"alpha-Ionone","cpd:C12286",""
"beta-Ionone; trans-beta-Ionone","cpd:C12287",""
"alpha-Amylcinnamaldehyde; alpha-Pentylcinnamaldehyde","cpd:C12288",""
"Isoamyl isovalerate","cpd:C12289",""
"Ethyl isovalerate","cpd:C12290",""
"Ethyl octanoate; Ethyl caprylate","cpd:C12292",""
"Isoamyl formate","cpd:C12293",""
"Geranyl formate","cpd:C12294",""
"Citronellyl formate","cpd:C12295",""
"Isoamyl  acetate","cpd:C12296",""
"Cyclohexyl acetate","cpd:C12297",""
"Citronellyl acetate; 3,7-Dimethyl-6-octen-1-yl acetate","cpd:C12298",""
"Cinnamyl acetate; 3-Phenyl-2-propenyl acetate","cpd:C12299",""
"alpha-Terpinyl acetate; p-Menth-1-en-8-yl acetate","cpd:C12300",""
"beta-Terpinyl acetate; Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, 1-acetate","cpd:C12301",""
"gamma-Terpinyl acetate; Cyclohexanol, 1-methyl-4-(1-methylethylidene)-, 1-acetate; p-Menth-4-en-1-yl acetate","cpd:C12302",""
"Phenethyl acetate; 2-Phenylethyl acetate","cpd:C12303",""
"Butyl acetate; n-Butyl acetate","cpd:C12304",""
"Methyl salicylate; Methyl 2-hydroxybenzoate","cpd:C12305","map01061"
"Allyl cyclohexylpropionate; 2-Propenyl 3-cyclohexylpropanoate","cpd:C12306",""
"Decanal; 1-Decanal","cpd:C12307",""
"Gibberellin A44; Gibberellin 44","cpd:C12308",""
"Esmeraldin A","cpd:C12309",""
"Esmeraldin B","cpd:C12310",""
"Saphenamycin","cpd:C12311",""
"Indolin-2-one","cpd:C12312","ko00402;ko01110"
"cis-1,2-Cyclohexanediol; cis-Cyclohexane-1,2-diol","cpd:C12313","ko00930;ko01120"
"1-Oxa-2-oxo-3-hydroxycycloheptane","cpd:C12314","ko00930;ko01120"
"cis-Dihydroquercetin","cpd:C12316",""
"D-Allothreonine; D-allo-Threonine","cpd:C12317",""
"dTDP-3-amino-2,3,6-trideoxy-D-threo-hexopyranos-4-ulose","cpd:C12318","ko01055;ko01110"
"dTDP-3-amino-2,3,6-trideoxy-C-methyl-D-erythro-hexopyranos-4-ulose","cpd:C12319","ko01055;ko01110"
"dTDP-L-4-oxovancosamine","cpd:C12320","ko01055;ko01110"
"dTDP-L-epivancosamine","cpd:C12321","ko01055;ko01110"
"dTDP-L-vancosamine","cpd:C12322","ko01055;ko01110"
"L-4-Hydroxyphenylglycine","cpd:C12323","ko01055;ko01110"
"3,5-Dihydroxyphenylacetyl-CoA","cpd:C12324","ko01055;ko01110"
"3,5-Dihydroxyphenylglyoxylate","cpd:C12325","ko01055;ko01110"
"(R,S)-Scoulerine; Scoulerine","cpd:C12326",""
"Laudanosoline; (R,S)-Laudanosoline","cpd:C12327",""
"Reticuline; (R,S)-Reticuline","cpd:C12328",""
"(R,S)-Norreticuline; Norreticuline","cpd:C12329",""
"2,3,9,10-Tetrahydroxyberbine","cpd:C12330",""
"2,3,9,10-Tetrahydroxyberberine","cpd:C12331",""
"Militarinone D","cpd:C12332",""
"Militarinone A","cpd:C12333",""
"Militarinone B","cpd:C12334",""
"Militarinone C","cpd:C12335",""
"Dioncophylline A","cpd:C12336",""
"Dioncophylline C","cpd:C12337",""
"Korupensamine A","cpd:C12338",""
"Dioncopeltine A; Triphyopeltine","cpd:C12339",""
"Ancistrotectorine","cpd:C12340",""
"Dioncophyllinol B","cpd:C12341",""
"Ancistrobrevine A","cpd:C12342",""
"Isoshinanolone","cpd:C12343",""
"1,8-Dihydroxy-3-methylnaphthalene","cpd:C12344",""
"1,3-Dimethyl-6,8-isoquinolinediol","cpd:C12345",""
"1,3-Dimethyl-8-isoquinolinol","cpd:C12346",""
"Deoxyribose triphosphate","cpd:C12347",""
"3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp]","cpd:C12348","ko01056;ko01110"
"3,5,7,9,11,13,15-Heptaoxo-heptadecanoyl-[acp]","cpd:C12349",""
"3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp]","cpd:C12350","ko01056"
"3,5,7,9,11,13,15,17-Octaoxo-octadecanoyl-[acp]","cpd:C12351",""
"3,5,7,9,11,13,15,17-Octaoxo-nonadecanoyl-[acp]","cpd:C12352",""
"3,5,7,9,11,13,15,17-Octaoxo-eicosanoyl-[acp]","cpd:C12353",""
"3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp]","cpd:C12354","ko01056;ko01110"
"3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp]","cpd:C12355","ko01056;ko01110"
"3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp]","cpd:C12356","ko01056"
"3,5,7,11,13,15-Heptaoxo-9-hydroxy-hexadecanoyl-[acp]","cpd:C12357",""
"3,5,7,11,13,15-Heptaoxo-9-hydroxy-heptadecanoyl-[acp]","cpd:C12358",""
"3,5,7,11,13,15-Heptaoxo-9-hydroxy-octadecanoyl-[acp]","cpd:C12359",""
"9-Hydroxy-3,5,7,11,13,15,17-octaoxo-octadecanoyl-[acp]","cpd:C12360",""
"9-Hydroxy-3,5,7,11,13,15,17-octaoxo-nonadecanoyl-[acp]","cpd:C12361",""
"9-Hydroxy-3,5,7,11,13,15,17-octaoxo-eicosanoyl-[acp]","cpd:C12362",""
"9-Hydroxy-3,5,7,11,13,15,17,19-nonaoxo-eicosanoyl-[acp]","cpd:C12363",""
"9-Hydroxy-3,5,7,11,13,15,17,19-nonaoxo-henicosanoyl-[acp]","cpd:C12364",""
"9-Hydroxy-3,5,7,11,13,15,17,19-nonaoxo-docosanoyl-[acp]","cpd:C12365",""
"Tetracenomycin F2; Tcm F2","cpd:C12366","ko01057;ko01110"
"Tetracenomycin F1","cpd:C12367","ko01057;ko01110"
"Tetracenomycin D3","cpd:C12368","ko01057;ko01110"
"Tetracenomycin B3","cpd:C12369","ko01057;ko01110"
"Tetracenomycin E","cpd:C12370","ko01057;ko01110"
"Tetracenomycin A2","cpd:C12371","ko01057;ko01110"
"Tetracenomycin M","cpd:C12372",""
"Tetracenomycin F1 methylester","cpd:C12373","ko01057"
"Decarboxytetracenomycin F1","cpd:C12374","ko01057"
"Tetracenomycin D3 methylester","cpd:C12375","ko01057"
"Tetracenomycin D1","cpd:C12376","ko01057"
"Tetracenomycin B1","cpd:C12377","ko01057"
"Tetracenomycin B2; 8-Demethyltetracenomycin A2","cpd:C12378","ko01057"
"8-Demethyltetracenomycin C","cpd:C12379","ko01057;ko01110"
"Tetracenomycin X","cpd:C12380","ko01057;ko01110"
"Elloramycin A","cpd:C12381","ko01057;ko01110"
"4-Demethylpremithramycinone","cpd:C12382","ko01057;ko01110"
"Premithramycinone","cpd:C12383","ko01057;ko01110"
"Premithramycin A1","cpd:C12384","ko01057;ko01110"
"Premithramycin A2'","cpd:C12385","ko01057;ko01110"
"Premithramycin A3'","cpd:C12386","ko01057;ko01110"
"Premithramycin A3","cpd:C12387","ko01057;ko01110"
"Premithramycin B","cpd:C12388","ko01057;ko01110"
"Mithramycin; Plicamycin","cpd:C12389","ko01057;ko01110"
"Dehydrorabelomycin","cpd:C12390","ko01057;ko01110"
"Kinobscurinone; 4,9-Dihydroxy-2-methyl-11H-benzo[b]fluorene-5,10,11-trione","cpd:C12391","ko01057;ko01110"
"Stealthin C","cpd:C12392","ko01057;ko01110"
"Prekinamycin","cpd:C12393","ko01057;ko01110"
"Kinamycin D","cpd:C12394","ko01057;ko01110"
"Jadomycin B","cpd:C12395","ko01057;ko01110"
"Tetrangomycin","cpd:C12396","ko01057;ko01110"
"Tetrangulol","cpd:C12397","ko01057;ko01110"
"8-O-Methyltetrangulol","cpd:C12398","ko01057;ko01110"
"19-Hydroxytetrangulol","cpd:C12399","ko01057;ko01110"
"19-Hydroxy-8-O-methyltetrangulol","cpd:C12400","ko01057;ko01110"
"PD116740","cpd:C12401","ko01057;ko01110"
"Rabelomycin","cpd:C12402","ko01057;ko01110"
"104-1","cpd:C12403",""
"Urdamycinone B","cpd:C12404","ko01057;ko01110"
"100-1","cpd:C12405","ko01057;ko01110"
"Urdamycin B","cpd:C12406","ko01057;ko01110"
"104-2","cpd:C12407","ko01057;ko01110"
"100-2","cpd:C12408","ko01057;ko01110"
"124-1","cpd:C12409","ko01057;ko01110"
"Urdamycinone F","cpd:C12410","ko01057;ko01110"
"Urdamycin F","cpd:C12411","ko01057;ko01110"
"Aquayamycin","cpd:C12412","ko01057;ko01110"
"Urdamycin A; Kerriamycin B","cpd:C12413","ko01057;ko01110"
"Urdamycin G; Aggreticin; OM 4842","cpd:C12414","ko01057;ko01110"
"Nogalonic acid methyl ester; NAME","cpd:C12415","ko01057;ko01110"
"Nogalonic acid","cpd:C12416","ko01057;ko01110"
"Auraviketone","cpd:C12417","ko01057;ko01110"
"Dihydro-NAME; Dihydro-nogalonic acid methyl ester","cpd:C12418","ko01057;ko01110"
"Auramycinone","cpd:C12419","ko01057;ko01110"
"12-Deoxyaklanonic acid","cpd:C12420","ko01057;ko01110"
"Aklanonic acid","cpd:C12421","ko01057;ko01110"
"Aklanonic acid methyl ester; AAME","cpd:C12422","ko01057;ko01110"
"Aklaviketone","cpd:C12423","ko01057;ko01110"
"Aklavinone","cpd:C12424","ko01057;ko01110"
"epsilon-Rhodomycinone; Rhodomycinone","cpd:C12425","ko01057;ko01110"
"Rhodomycin D","cpd:C12426","ko01057;ko01110"
"10-Carboxy-13-deoxycarminomycin; D 788-1","cpd:C12427","ko01057;ko01110"
"13-Deoxycarminomycin","cpd:C12428","ko01057;ko01110"
"13-Deoxydaunorubicin; Feudomycin A","cpd:C12429","ko01057;ko01110"
"13-Dihydrodaunorubicin","cpd:C12430","ko01057;ko01110"
"13-Dihydrocarminomycin","cpd:C12431","ko01057;ko01110"
"Carminomycin","cpd:C12432","ko01057;ko01110"
"(13S)-13-Dihydrodaunorubicin","cpd:C12433","ko01057;ko01110"
"(S)-DNPA; 4-Dihydro-9-hydroxy-1-methyl-10-oxo-3-H-naphtho[2,3-c]pyran-3-acetic acid","cpd:C12434","ko01057;ko01110"
"6-Deoxydihydrokalafungin; DDHK","cpd:C12435","ko01057;ko01110"
"Dihydrokalafungin; DHK","cpd:C12436","ko01057;ko01110"
"Medermycin","cpd:C12437","ko01057;ko01110"
"Phenanthroviridone aglycon","cpd:C12439",""
"Trachelanthamidine","cpd:C12440","ko00960;ko01110"
"Nonaketamide; 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxo-octadecanoyl-[acp]","cpd:C12441","ko00253;ko01056;ko01110"
"C-9 Reduced nonaketamide; 18-Carbamoyl-9-hydroxy-3,5,7,11,13,15,17-octaoxo-octadecanoyl-[acp]","cpd:C12442","ko00253;ko01056;ko01110"
"dTDP-beta-L-daunosamine","cpd:C12443",""
"dTDP-D-mycarose","cpd:C12444",""
"dTDP-D-oliose; dTDP-2,6-dideoxy-D-galactose","cpd:C12446",""
"dTDP-beta-L-rhodinose","cpd:C12447",""
"Ecgonine methyl ester; Methyl ecgonine","cpd:C12448","ko00960;map01064;ko01100;ko01110"
"Pseudoecgonine","cpd:C12449","ko00960"
"Pseudoecgonyl-CoA","cpd:C12450","ko00960"
"Fridamycin E","cpd:C12451","ko01057;ko01110"
"Acetyltropine; 3-Acetyltropine","cpd:C12452","ko00960"
"Acetylpseudotropine","cpd:C12453","ko00960"
"Anatalline","cpd:C12454","ko00960"
"5-Aminopentanal","cpd:C12455","ko00960;ko01100;ko01110"
"3-Dimethylallyl-4-hydroxyphenylpyruvate","cpd:C12456","ko00401;ko01110"
"3-Dimethylallyl-4-hydroxymandelic acid","cpd:C12457","ko00401;ko01110"
"3-Dimethylallyl-4-hydroxybenzoate","cpd:C12458","ko00401;ko01110"
"3-Dimethylallyl-4-hydroxybenzaldehyde","cpd:C12459","ko00401;ko01110"
"3-Dimethylallyl-beta-hydroxy-L-tyrosyl-[pcp]","cpd:C12460","ko00401;ko01110"
"L-Tyrosyl-[pcp]","cpd:C12461","ko00401;ko01110"
"beta-Hydroxy-L-tyrosyl-[pcp]","cpd:C12462","ko00401;ko01110"
"beta-Keto-L-tyrosyl-[pcp]","cpd:C12463","ko00401;ko01110"
"3-Methyl-beta-keto-L-tyrosyl-[pcp]","cpd:C12464","ko00401;ko01110"
"2-Hydroxy-3-methyl-beta-keto-L-tyrosyl-[pcp]","cpd:C12465","ko00401;ko01110"
"3-Amino-4,7-dihydroxy-8-methylcoumarin","cpd:C12466","ko00401;ko01110"
"2-Hydroxy-beta-keto-L-tyrosyl-[pcp]","cpd:C12467","ko00401;ko01110"
"3-Amino-4,7-dihydroxycoumarin","cpd:C12468","ko00401;ko01110"
"3-Amino-4,7-dihydroxy-8-chlorocoumarin","cpd:C12469","ko00401;ko01110"
"L-Prolyl-[pcp]","cpd:C12470","ko00401;ko01110"
"Chlorobiocic acid","cpd:C12471","ko00401;ko01110"
"Novclobiocin 105","cpd:C12472","ko00401;ko01110"
"Novclobiocin 104","cpd:C12473","ko00401;ko01110"
"Novobiocic acid","cpd:C12474","ko00401;ko01110"
"Desmethyldescarbamoylnovobiocin","cpd:C12475","ko00401;ko01110"
"Descarbamoylnovobiocin","cpd:C12476","ko00401;ko01110"
"3-Methylpyrrole-2,4-dicarboxylic acid","cpd:C12477","ko00401;ko01110"
"Coumeroic acid","cpd:C12478","ko00401;ko01110"
"Coumermic acid","cpd:C12479","ko00401;ko01110"
"Coumermycin D","cpd:C12480","ko00401;ko01110"
"dTDP-5-dimethyl-L-lyxose","cpd:C12481","ko00401"
"2-Pyrroline-2-carboxyl-[pcp]","cpd:C12482","ko00401;ko01110"
"Pyrrole-2-carboxyl-[pcp]","cpd:C12483","ko00401;ko01110"
"5-Methyl-pyrrole-2-carboxyl-[pcp]","cpd:C12484","ko00401;ko01110"
"Boric acid","cpd:C12486",""
"Butenafine hydrochloride","cpd:C12490",""
"Pyrrolnitrin","cpd:C12491",""
"Magnesium sulfate; Magnesium sulfate heptahydrate","cpd:C12505","ko05133"
"Nateglinide","cpd:C12508",""
"Eplerenone","cpd:C12512",""
"Glutaral; 1,5-Pentanedial; Glutaraldehyde","cpd:C12518",""
"5alpha-Androstan-3beta,17beta-diol","cpd:C12525",""
"Tazarotene","cpd:C12531",""
"Tranexamic acid","cpd:C12535",""
"Benzyl benzoate","cpd:C12537",""
"Ammonium chloride","cpd:C12538",""
"Benzethonium chloride","cpd:C12539",""
"Sulfamonomethoxine","cpd:C12540",""
"Oxethazaine; Oxetacaine","cpd:C12552",""
"Potassium acetate","cpd:C12554",""
"Cefepime hydrochloride; Cefepime dihydrochloride","cpd:C12557",""
"Saquinavir mesylate; Saquinavir mesilate","cpd:C12560","ko04976"
"Aripiprazole","cpd:C12564",""
"Magnesium oxide","cpd:C12567",""
"Potassium hydroxide","cpd:C12568",""
"Sodium hydroxide","cpd:C12569",""
"Zinc oxide","cpd:C12570",""
"Pheniramine maleate","cpd:C12574",""
"Trilostane","cpd:C12580",""
"Pheneturide; Ethylphenacemide","cpd:C12590",""
"Emtricitabine","cpd:C12599",""
"Phenolsulfonphthalein; Phenol red","cpd:C12600",""
"Sodium bicarbonate; Sodium hydrogencarbonate","cpd:C12603",""
"Novobiocin sodium","cpd:C12609",""
"Sulfamethopyrazine; Sulfalene","cpd:C12616",""
"trans-3-Hydroxycinnamate; (2E)-3-(3-Hydroxyphenyl)prop-2-enoate","cpd:C12621","ko00360;ko01120"
"cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol; (2E)-3-(cis-5,6-Dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate","cpd:C12622","ko00360;ko01120;ko01220"
"trans-2,3-Dihydroxycinnamate; (2E)-3-(2,3-Dihydroxyphenyl)prop-2-enoate","cpd:C12623","ko00360;ko01120;ko01220"
"2-Hydroxy-6-ketononatrienedioate","cpd:C12624","ko00360;ko01120;ko01220"
"Biochanin A 7-O-(6-O-malonyl-beta-D-glucoside); Biochanin A 7-O-beta-D-glucoside 6''-O-malonate","cpd:C12625","ko00943"
"Kaempferol-3-O-galactoside; Kaempferol 3-O-beta-D-galactoside; Trifolin","cpd:C12626","ko00944"
"Apigenin 7-O-neohesperidoside; Rhoifolin; Rhoifoloside","cpd:C12627","ko00944"
"Vitexin 2''-O-beta-L-rhamnoside; 2''-O-Rhamnosylvitexin; Vitexin 2''-rhamnoside","cpd:C12628","ko00944"
"Isoswertisin 2''-rhamnoside; 7-O-Methylvitexin 2''-O-beta-L-rhamnoside; 2''-O-Rhamnosylisoswertisin","cpd:C12629","ko00944"
"Scolymoside; Luteolin 7-O-neohesperidoside; Veronicastroside","cpd:C12630","ko00944"
"2-Hydroxy-2,3-dihydrogenistein","cpd:C12631","ko00943;ko01110"
"Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]; Luteolin 7-O-beta-D-diglucuronide","cpd:C12632","ko00944"
"Laricitrin; 3'-O-Methylmyricetin","cpd:C12633","ko00944"
"Kaempferol 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside; Kaempferol 3-O-beta-D-sophoroside; Sophoraflavonoloside","cpd:C12634","ko00944"
"Kaempferol 3-sophorotrioside; Kaempferol 3-O-beta-D-glucosyl-(1->2)-beta-D-glucosyl-(1->2)-beta-D-glucoside","cpd:C12635","ko00944"
